track_id,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,energy,tempo,danceability,loudness,liveness,valence,speechiness,acousticness,instrumentalness,track_popularity,duration_ms,mode,key,time_signature,release_year,release_month,release_quarter,playlist_specified_genre
6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,Blackout,2007-10-01,pop,throwback,0.844,113.324,0.788,-3.131,0.0723,0.382,0.0334,0.25,0.000678,80,251240,1,2,4,2007,10,4,pop_throwback
6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,24K Magic,2016-11-01,pop,throwback,0.803,106.97,0.818,-4.282,0.153,0.632,0.0797,0.034,0.0,80,225983,1,1,4,2016,11,4,pop_throwback
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,1983-10-01,pop,throwback,0.799,120.372,0.71,-4.897,0.349,0.725,0.0328,0.22,0.000602,80,238267,1,6,4,1983,10,4,pop_throwback
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",The Papercut Chronicles II,2011-11-01,pop,throwback,0.795,89.99,0.646,-3.293,0.267,0.796,0.0976,0.0319,0.0,80,210960,1,9,4,2011,11,4,pop_throwback
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,Kiss,2012-01-01,pop,throwback,0.58,120.021,0.782,-6.548,0.108,0.66,0.0407,0.0114,2.28e-06,80,193400,1,7,4,2012,1,1,pop_throwback
48QmG1dfvMuYLxMPt7KSRA,No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,2018-06-01,pop,throwback,0.882,102.04,0.742,-2.862,0.206,0.463,0.117,0.0466,0.0,80,221176,1,7,4,2018,6,2,pop_throwback
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,2006-09-01,pop,throwback,0.583,117.0,0.967,-5.562,0.0519,0.964,0.0789,0.0584,0.0,80,242733,0,7,4,2006,9,3,pop_throwback
4kLLWz7srcuLKA7Et40PQR,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,pop,throwback,0.766,127.966,0.744,-6.375,0.509,0.61,0.0265,0.0873,0.0,80,289133,1,0,4,2009,1,1,pop_throwback
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),2015-11-01,pop,throwback,0.567,125.02,0.845,-8.118,0.0811,0.793,0.0956,0.59,0.00142,79,205680,0,5,4,2015,11,4,pop_throwback
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-01,pop,throwback,0.669,122.669,0.834,-5.582,0.0535,0.547,0.0637,0.0341,7.18e-05,79,267080,0,6,4,2008,6,2,pop_throwback
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,Spice,1996-01-01,pop,throwback,0.864,110.009,0.768,-6.149,0.162,0.891,0.0324,0.101,0.0,79,173027,1,11,4,1996,1,1,pop_throwback
7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Maroon 5, Christina Aguilera",Hands All Over (Revised International Standard version),2010-11-01,pop,throwback,0.761,128.046,0.722,-4.46,0.315,0.624,0.0475,0.0119,0.0,79,201493,0,11,4,2010,11,4,pop_throwback
6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,2000-05-01,pop,throwback,0.834,95.053,0.751,-5.444,0.355,0.894,0.0437,0.3,1.77e-05,79,211160,0,1,4,2000,5,2,pop_throwback
0cGG2EouYCEEC3xfa0tDFV,Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,1981-11-01,pop,throwback,0.501,144.438,0.5,-8.284,0.26,0.623,0.0376,0.462,0.0,79,153800,0,0,4,1981,11,4,pop_throwback
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,"Lady Gaga, Colby O'Donis",The Fame,2008-01-01,pop,throwback,0.739,118.99,0.822,-4.541,0.181,0.745,0.0311,0.0264,4.28e-05,79,241933,0,1,4,2008,1,1,pop_throwback
5D2mYZuzcgjpchVY1pmTPh,Candy Shop,"50 Cent, Olivia",The Massacre,2005-03-01,pop,throwback,0.574,125.18,0.613,-7.961,0.38,0.755,0.467,0.0253,3.13e-05,78,209107,1,11,5,2005,3,1,pop_throwback
3vkQ5DAB1qQMYO4Mr9zJN6,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,1979-11-01,pop,throwback,0.491,119.528,0.749,-9.655,0.159,0.536,0.0403,0.02,0.00899,78,292613,1,10,4,1979,11,4,pop_throwback
2V65y3PX4DkRhy1djlxd9p,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",Don't You Worry Child,2012-09-01,pop,throwback,0.84,129.042,0.612,-3.145,0.116,0.438,0.0509,0.112,0.0,78,212862,0,11,4,2012,9,3,pop_throwback
